,name,team,position,total_points,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,goals_conceded,own_goals,yellow_cards,red_cards,value,PV-ratio
44,Ederson Santana de Moraes,Man City,GK,85,2250,0,1,8,33,0,0,25,0,2,0,54,1.5740740740740742
45,Alex Iwobi,Everton,MID,84,2142,1,7,6,0,0,0,31,0,2,0,54,1.5555555555555556
46,Mason Mount,Chelsea,MID,83,1672,3,4,8,0,0,0,21,0,3,0,73,1.1369863013698631
47,Rúben da Silva Neves,Wolves,MID,83,2070,5,0,6,0,0,0,30,0,7,0,54,1.537037037037037
48,Trent Alexander-Arnold,Liverpool,DEF,83,1704,1,5,4,0,0,0,26,0,3,0,73,1.1369863013698631
49,Bryan Mbeumo,Brentford,FWD,83,1805,5,4,7,0,0,0,27,0,4,0,58,1.4310344827586208
50,Lukasz Fabianski,West Ham,GK,82,2053,0,0,4,72,1,0,29,0,0,0,50,1.64
51,Mathias Jensen,Brentford,MID,82,1823,3,5,7,0,0,0,26,0,3,0,48,1.7083333333333333
52,Robert Sánchez,Brighton,GK,82,2070,0,0,6,50,1,0,33,0,1,0,46,1.7826086956521738
53,Douglas Luiz Soares de Paulo,Aston Villa,MID,81,1667,3,5,6,0,0,0,28,0,3,1,48,1.6875
54,Illan Meslier,Leeds,GK,80,2160,0,0,5,75,0,0,39,0,3,0,45,1.7777777777777777
55,Morgan Gibbs-White,Nott'm Forest,MID,80,1735,2,6,6,0,0,0,30,0,1,0,55,1.4545454545454546
56,Kepa Arrizabalaga,Chelsea,GK,80,1395,0,0,7,53,0,0,12,0,1,0,47,1.702127659574468
